Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
110	PLOS MEDICINE	"20,499"	13.585	0.062070
111	Annual Review of Entomology	"10,622"	13.534	0.010750
112	Annual Review of Physical Chemistry	"8,077"	13.527	0.014080
113	AMERICAN JOURNAL OF PSYCHIATRY	"41,752"	13.505	0.046570
113	AMERICAN JOURNAL OF PSYCHIATRY	"41,752"	13.505	0.046570
115	NATURE STRUCTURAL & MOLECULAR BIOLOGY	"25,671"	13.338	0.104340
116	ACS Nano	"97,676"	13.334	0.357460
117	MOLECULAR PSYCHIATRY	"15,797"	13.314	0.044550
118	Annual Review of Marine Science	"2,559"	13.214	0.013920
119	PROGRESS IN NEUROBIOLOGY	"11,877"	13.177	0.020390
120	Nano Today	"5,428"	13.157	0.015080
121	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	"53,045"	13.118	0.091920
122	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	"504,778"	13.038	0.796120
123	COORDINATION CHEMISTRY REVIEWS	"29,743"	12.994	0.036440
124	REPORTS ON PROGRESS IN PHYSICS	"12,755"	12.933	0.033500
125	TRENDS IN BIOCHEMICAL SCIENCES	"15,491"	12.810	0.031990
126	Annual Review of Cell and Developmental Biology	"8,992"	12.755	0.020640
127	Nature Chemical Biology	"15,361"	12.709	0.061030
128	Advances in Organometallic Chemistry	829	12.625	0.000580
129	JOURNAL OF CLINICAL INVESTIGATION	"101,063"	12.575	0.185550
130	Cell Host & Microbe	"10,638"	12.552	0.052370
131	Nature Geoscience	"14,574"	12.508	0.084680
132	TRENDS IN NEUROSCIENCES	"18,656"	12.504	0.030230
133	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	"41,392"	12.485	0.085080
134	ANNALS OF THE RHEUMATIC DISEASES	"35,393"	12.384	0.075380
135	Advances in Optics and Photonics	"1,072"	12.368	0.003660
136	Annual Review of Fluid Mechanics	"8,878"	12.333	0.015180
137	Annual Review of Genetics	"7,166"	12.235	0.017140
138	Annual Review of Clinical Psychology	"3,653"	12.214	0.010970
138	Annual Review of Clinical Psychology	"3,653"	12.214	0.010970
140	JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS	"2,927"	12.162	0.004420
141	ASTRONOMY AND ASTROPHYSICS REVIEW	"1,315"	12.136	0.005780
142	LEUKEMIA	"22,423"	12.104	0.063240
143	TRENDS IN BIOTECHNOLOGY	"11,974"	12.065	0.019260
144	BLOOD	"158,083"	11.841	0.351280
145	TRENDS IN PHARMACOLOGICAL SCIENCES	"10,682"	11.840	0.018850
146	HEPATOLOGY	"60,117"	11.711	0.117430
147	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	"263,526"	11.709	0.552130
148	Annual Review of Biophysics	"2,310"	11.625	0.012320
149	Alzheimers & Dementia	"7,019"	11.619	0.027530
150	Nano Energy	"6,968"	11.553	0.017960
151	CIRCULATION RESEARCH	"47,491"	11.551	0.085430
152	TRENDS IN CELL BIOLOGY	"11,479"	11.532	0.032560
153	REVIEWS OF GEOPHYSICS	"8,280"	11.444	0.011570
154	TRENDS IN IMMUNOLOGY	"9,274"	11.433	0.024600
155	ADVANCED FUNCTIONAL MATERIALS	"58,245"	11.382	0.141870
156	JNCI-Journal of the National Cancer Institute	"37,074"	11.370	0.063630
157	ACTA NEUROPATHOLOGICA	"14,701"	11.360	0.037050
158	GENOME RESEARCH	"34,396"	11.351	0.124140
159	Nature Communications	"75,139"	11.329	0.478090
160	GENOME BIOLOGY	"25,081"	11.313	0.087000
161	ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES	"24,953"	11.257	0.071510
162	JOURNAL OF EXPERIMENTAL MEDICINE	"62,854"	11.240	0.105650
163	PROGRESS IN LIPID RESEARCH	"4,814"	11.238	0.008500
164	BIOLOGICAL PSYCHIATRY	"42,289"	11.212	0.074060
165	HUMAN REPRODUCTION UPDATE	"7,239"	11.194	0.016270
166	PHARMACOLOGY & THERAPEUTICS	"12,238"	11.000	0.020680
167	NATURAL PRODUCT REPORTS	"8,755"	10.986	0.018300
168	Annual Review of Medicine	"5,666"	10.954	0.012340
169	TRENDS IN PLANT SCIENCE	"17,092"	10.899	0.029830
170	MOLECULAR ASPECTS OF MEDICINE	"4,178"	10.860	0.010750
171	AMERICAN JOURNAL OF HUMAN GENETICS	"34,628"	10.794	0.080380
172	ECOLOGY LETTERS	"25,887"	10.772	0.065970
173	BIOLOGICAL REVIEWS	"8,895"	10.725	0.018580
174	JOURNAL OF HEPATOLOGY	"30,983"	10.590	0.075990
175	MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	"20,918"	10.588	0.082290
176	Molecular Systems Biology	"7,682"	10.581	0.036340
177	Annual Review of Microbiology	"9,267"	10.536	0.014270
178	Nature Reviews Cardiology	"3,360"	10.533	0.017690
179	Nature Reviews Rheumatology	"4,314"	10.531	0.020010
180	Annual Review of Materials Research	"6,356"	10.390	0.011100
181	AMERICAN JOURNAL OF GASTROENTEROLOGY	"31,432"	10.383	0.055670
182	Annual Review of Biomedical Engineering	"3,823"	10.256	0.006470
183	Annual Review of Public Health	"4,631"	10.240	0.007280
183	Annual Review of Public Health	"4,631"	10.240	0.007280
185	Wiley Interdisciplinary Reviews-Computational Molecular Science	"2,560"	10.234	0.011740
186	INTENSIVE CARE MEDICINE	"18,130"	10.125	0.033620
187	BRAIN	"46,207"	10.103	0.083910
188	GENES & DEVELOPMENT	"57,109"	10.042	0.117560
189	SEMINARS IN CANCER BIOLOGY	"5,600"	9.955	0.012930
190	TRENDS IN GENETICS	"10,789"	9.858	0.024100
191	BIOTECHNOLOGY ADVANCES	"12,195"	9.848	0.024630
192	Academy of Management Annals	"1,530"	9.741	0.008360
193	Nature Protocols	"28,066"	9.646	0.068790
194	EMBO JOURNAL	"68,016"	9.643	0.107340
195	ANNALS OF NEUROLOGY	"32,995"	9.638	0.059560
196	2D Materials	514	9.611	0.002810
197	EMBO Molecular Medicine	"4,471"	9.547	0.023280
198	IMMUNOLOGICAL REVIEWS	"13,384"	9.542	0.037020
199	JAMA Pediatrics	"2,548"	9.528	0.015690
200	TRENDS IN MICROBIOLOGY	"9,700"	9.500	0.020320
201	PROGRESS IN PARTICLE AND NUCLEAR PHYSICS	"2,608"	9.472	0.006330
202	Nature Reviews Nephrology	"2,897"	9.463	0.014930
203	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	"593,284"	9.423	1.326500
204	CHEMISTRY OF MATERIALS	"88,075"	9.407	0.126920
205	PROGRESS IN RETINAL AND EYE RESEARCH	"4,591"	9.394	0.009870
206	Annual Review of Ecology Evolution and Systematics	"17,547"	9.352	0.012620
207	MASS SPECTROMETRY REVIEWS	"3,994"	9.346	0.005520
208	DEVELOPMENTAL CELL	"24,023"	9.338	0.083650
209	EPIDEMIOLOGIC REVIEWS	"3,157"	9.333	0.003950
210	ISME Journal	"13,569"	9.328	0.056000
211	JOURNAL OF PINEAL RESEARCH	"6,914"	9.314	0.007800
212	Annual Review of Phytopathology	"6,396"	9.308	0.007030
213	ACS Catalysis	"15,646"	9.307	0.051960
214	TRENDS IN MOLECULAR MEDICINE	"7,703"	9.292	0.020560
215	ANNALS OF ONCOLOGY	"30,516"	9.269	0.094480
216	IEEE Communications Surveys and Tutorials	"4,172"	9.220	0.020370
217	NUCLEIC ACIDS RESEARCH	"143,465"	9.202	0.365130
218	Cold Spring Harbor Perspectives in Biology	"9,184"	9.173	0.058760
219	Chemical Science	"20,983"	9.144	0.089100
220	MEDICINAL RESEARCH REVIEWS	"3,710"	9.135	0.005370
221	Autophagy	"10,957"	9.108	0.036100
222	Materials Horizons	917	9.095	0.003060
223	ACTA NUMERICA	"1,498"	9.000	0.004140
223	Microbiome	698	9.000	0.004140
225	CURRENT BIOLOGY	"49,471"	8.983	0.142270
226	Health Psychology Review	841	8.976	0.003050
227	TRENDS IN ENDOCRINOLOGY AND METABOLISM	"6,826"	8.964	0.019400
228	ARTHRITIS AND RHEUMATISM	"45,624"	8.955	0.067400
229	DIABETES CARE	"60,339"	8.934	0.117230
230	Nano Research	"7,188"	8.893	0.019900
231	CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	"3,222"	8.867	0.007870
232	Theranostics	"2,813"	8.854	0.009610
233	FRONTIERS IN NEUROENDOCRINOLOGY	"3,407"	8.852	0.007280
234	CURRENT OPINION IN CELL BIOLOGY	"13,034"	8.851	0.031950
235	Geochemical Perspectives	115	8.800	0.000800
236	DIABETES	"51,024"	8.784	0.086960
237	NPG Asia Materials	"1,806"	8.772	0.007660
238	GONDWANA RESEARCH	"8,546"	8.743	0.023970
239	CLINICAL CANCER RESEARCH	"74,312"	8.738	0.153610
240	CLINICAL INFECTIOUS DISEASES	"53,258"	8.736	0.123860
241	JOURNAL OF CELL BIOLOGY	"67,778"	8.717	0.110100
242	Physical Review X	"4,168"	8.701	0.033070
243	PLOS BIOLOGY	"25,871"	8.668	0.079660
244	Particle and Fibre Toxicology	"3,245"	8.649	0.009160
245	Physics of Life Reviews	"1,124"	8.615	0.002750
246	NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS	"18,522"	8.580	0.045360
247	ANNALS OF SURGERY	"43,775"	8.569	0.073330
248	CANCER RESEARCH	"139,464"	8.556	0.181540
249	Journal of Physical Chemistry Letters	"26,225"	8.539	0.118850
250	PLANT CELL	"47,208"	8.538	0.075370
251	FISH AND FISHERIES	"2,902"	8.521	0.007070
252	GREEN CHEMISTRY	"28,472"	8.506	0.053400
253	FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	"7,340"	8.504	0.018820
254	JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY	"32,376"	8.491	0.056650
255	AUTOIMMUNITY REVIEWS	"6,972"	8.490	0.018490
256	SEMINARS IN IMMUNOLOGY	"3,951"	8.461	0.011130
257	GLOBAL CHANGE BIOLOGY	"28,320"	8.444	0.077010
258	ENVIRONMENTAL HEALTH PERSPECTIVES	"34,909"	8.443	0.053780
259	BRIEFINGS IN BIOINFORMATICS	"3,898"	8.399	0.014100
260	BIOMATERIALS	"95,025"	8.387	0.148920
261	Lancet HIV	209	8.364	0.000760
262	Annual Review of Genomics and Human Genetics	"2,431"	8.347	0.007040
263	EUROPEAN RESPIRATORY JOURNAL	"30,252"	8.332	0.052730
264	APPLIED CATALYSIS B-ENVIRONMENTAL	"40,175"	8.328	0.057220
265	Small	"30,275"	8.315	0.077380
266	CURRENT OPINION IN BIOTECHNOLOGY	"12,429"	8.314	0.026040
267	eLife	"7,951"	8.303	0.068690
268	Earth System Science Data	703	8.286	0.005470
269	CEREBRAL CORTEX	"26,911"	8.285	0.068290
270	Journal of Materials Chemistry A	"41,927"	8.262	0.109170
271	JAMA Neurology	"3,176"	8.230	0.017210
272	SYSTEMATIC BIOLOGY	"13,741"	8.225	0.032130
273	CELL DEATH AND DIFFERENTIATION	"16,945"	8.218	0.035740
274	METABOLIC ENGINEERING	"5,218"	8.201	0.012620
275	CRITICAL REVIEWS IN MICROBIOLOGY	"2,001"	8.192	0.003720
276	NEUROLOGY	"76,804"	8.166	0.118080
277	CLINICAL PSYCHOLOGY REVIEW	"11,509"	8.146	0.023170
278	LAND DEGRADATION & DEVELOPMENT	"2,873"	8.145	0.004740
279	THORAX	"19,740"	8.121	0.032730
280	ECOLOGICAL MONOGRAPHS	"9,501"	8.037	0.008950
281	BMC Medicine	"7,331"	8.005	0.031210
282	Annual Review of Analytical Chemistry	"1,742"	8.000	0.004680
282	National Science Review	239	8.000	0.001420
284	CANCER TREATMENT REVIEWS	"6,110"	7.983	0.014780
285	DRUG RESISTANCE UPDATES	"2,222"	7.950	0.003960
286	ONCOGENE	"64,269"	7.932	0.094540
287	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	"16,505"	7.929	0.037860
288	INTERNATIONAL MATERIALS REVIEWS	"3,211"	7.914	0.004430
289	Nanotoxicology	"3,466"	7.913	0.009520
290	Journal of Cachexia Sarcopenia and Muscle	901	7.883	0.003040
291	Cell Reports	"12,553"	7.870	0.102560
292	BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER	"4,583"	7.841	0.010550
293	JACC-Cardiovascular Imaging	"5,248"	7.815	0.023650
294	ADVANCES IN COLLOID AND INTERFACE SCIENCE	"10,115"	7.813	0.014510
295	Annual Review of Earth and Planetary Sciences	"6,179"	7.810	0.011580
296	JOURNAL OF INTERNAL MEDICINE	"9,090"	7.803	0.017600
297	JOURNAL OF AUTOIMMUNITY	"4,998"	7.760	0.013480
297	Nanoscale	"46,621"	7.760	0.146220
299	SCHIZOPHRENIA BULLETIN	"14,839"	7.757	0.028650
299	SCHIZOPHRENIA BULLETIN	"14,839"	7.757	0.028650
301	EMBO REPORTS	"11,203"	7.739	0.030400
302	GENETICS IN MEDICINE	"6,267"	7.710	0.025550
303	KIDNEY INTERNATIONAL	"38,159"	7.683	0.051760
304	Clinical Gastroenterology and Hepatology	"13,269"	7.680	0.038560
305	Perspectives on Psychological Science	"5,279"	7.658	0.025980
306	PHYSICAL REVIEW LETTERS	"394,146"	7.645	0.820280
307	OncoImmunology	"2,835"	7.644	0.011740
308	CURRENT OPINION IN CHEMICAL BIOLOGY	"9,752"	7.643	0.023130
309	PSYCHOTHERAPY AND PSYCHOSOMATICS	"2,808"	7.632	0.004600
309	PSYCHOTHERAPY AND PSYCHOSOMATICS	"2,808"	7.632	0.004600
311	JACC-Cardiovascular Interventions	"6,159"	7.630	0.030360
312	PSYCHOLOGICAL REVIEW	"23,958"	7.581	0.015670
312	PSYCHOLOGICAL REVIEW	"23,958"	7.581	0.015670
314	PROGRESS IN SURFACE SCIENCE	"1,864"	7.579	0.001760
315	PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW	"4,486"	7.571	0.009200
316	AGEING RESEARCH REVIEWS	"3,482"	7.526	0.009950
316	CATALYSIS REVIEWS-SCIENCE AND ENGINEERING	"3,062"	7.526	0.001560
318	INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	"17,957"	7.522	0.042050
319	CRITICAL REVIEWS IN BIOTECHNOLOGY	"2,083"	7.510	0.003210
319	Obesity Reviews	"8,237"	7.510	0.025010
321	JOURNAL OF HEART AND LUNG TRANSPLANTATION	"8,788"	7.509	0.025550
322	Annual Review of Nuclear and Particle Science	"2,343"	7.500	0.006100
323	TRAC-TRENDS IN ANALYTICAL CHEMISTRY	"10,376"	7.487	0.018250
324	Laser & Photonics Reviews	"3,381"	7.486	0.014290
325	BIOSENSORS & BIOELECTRONICS	"37,000"	7.476	0.061320
326	GigaScience	636	7.463	0.004320
327	CLINICAL CHEMISTRY	"27,007"	7.457	0.028680
328	JOURNAL OF CONTROLLED RELEASE	"38,589"	7.441	0.056860
329	CRITICAL CARE MEDICINE	"36,267"	7.422	0.061550
330	ALDRICHIMICA ACTA	"1,059"	7.417	0.002120
331	JOURNAL OF PATHOLOGY	"15,687"	7.381	0.030650
332	NEURO-ONCOLOGY	"7,364"	7.371	0.024800
333	PROGRESS IN PHOTOVOLTAICS	"7,802"	7.365	0.017050
334	Science Signaling	"8,469"	7.359	0.044080
335	JOURNAL OF CATALYSIS	"41,651"	7.354	0.034430
336	SLEEP MEDICINE REVIEWS	"4,392"	7.341	0.010380
337	NEUROSCIENTIST	"4,096"	7.295	0.010110
337	TRENDS IN PARASITOLOGY	"5,620"	7.295	0.012830
339	ACADEMY OF MANAGEMENT REVIEW	"22,261"	7.288	0.013220
340	CLINICAL PHARMACOLOGY & THERAPEUTICS	"14,125"	7.268	0.029170
341	SPACE SCIENCE REVIEWS	"8,644"	7.242	0.024460
342	PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY	"2,197"	7.231	0.004210
343	QUARTERLY REVIEWS OF BIOPHYSICS	"2,250"	7.222	0.003590
344	JACC-Heart Failure	"1,101"	7.218	0.005560
345	NEW PHYTOLOGIST	"36,941"	7.210	0.070010
346	JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	"18,227"	7.182	0.023220
346	JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	"18,227"	7.182	0.023220
348	ACS Applied Materials & Interfaces	"54,997"	7.145	0.147900
349	Molecular Plant	"5,016"	7.142	0.018010
350	CURRENT OPINION IN IMMUNOLOGY	"8,781"	7.126	0.023730
350	Conservation Letters	"2,229"	7.126	0.010200
352	ChemSusChem	"13,420"	7.116	0.037360
353	EUROPEAN JOURNAL OF EPIDEMIOLOGY	"5,789"	7.105	0.015360
354	ANTIOXIDANTS & REDOX SIGNALING	"17,009"	7.093	0.045580
355	Advances in Immunology	"2,328"	7.064	0.005490
356	BRITISH JOURNAL OF PSYCHIATRY	"22,682"	7.060	0.024940
356	BRITISH JOURNAL OF PSYCHIATRY	"22,682"	7.060	0.024940
358	Kidney International Supplements	"1,063"	7.026	0.006310
359	Stem Cell Reports	"1,806"	7.023	0.011770
360	PLoS Pathogens	"33,136"	7.003	0.143290
361	EMERGING INFECTIOUS DISEASES	"25,266"	6.994	0.062680
362	EARTH-SCIENCE REVIEWS	"10,016"	6.991	0.021600
362	FUNGAL DIVERSITY	"2,972"	6.991	0.006890
364	mBio	"7,076"	6.975	0.039720
365	BMC BIOLOGY	"3,908"	6.967	0.016100
366	Annual Review of Food Science and Technology	862	6.950	0.003420
367	MOLECULAR THERAPY	"14,136"	6.938	0.035860
368	PROGRESS IN QUANTUM ELECTRONICS	913	6.923	0.001420
369	JOURNAL OF INVESTIGATIVE DERMATOLOGY	"25,788"	6.915	0.043120
370	Circulation-Heart Failure	"4,568"	6.833	0.023120
371	RADIOLOGY	"48,521"	6.798	0.072650
371	RENEWABLE & SUSTAINABLE ENERGY REVIEWS	"30,596"	6.798	0.074710
373	Annual Review of Nutrition	"4,677"	6.784	0.004560
374	CURRENT OPINION IN PLANT BIOLOGY	"11,242"	6.780	0.021720
375	OPHTHALMOLOGY	"31,586"	6.750	0.058740
376	ORGANIC LETTERS	"93,278"	6.732	0.170920
377	BRITISH JOURNAL OF SPORTS MEDICINE	"13,384"	6.724	0.027150
377	CANADIAN MEDICAL ASSOCIATION JOURNAL	"12,420"	6.724	0.022910
379	PSYCHOLOGICAL INQUIRY	"3,164"	6.714	0.003050
380	CURRENT OPINION IN STRUCTURAL BIOLOGY	"10,167"	6.713	0.026440
381	AMERICAN JOURNAL OF CLINICAL NUTRITION	"53,346"	6.703	0.064470
382	IEEE TRANSACTIONS ON FUZZY SYSTEMS	"9,220"	6.701	0.013540
383	HAEMATOLOGICA	"14,110"	6.671	0.041880
383	IEEE SIGNAL PROCESSING MAGAZINE	"6,140"	6.671	0.018660
385	Cancer Immunology Research	"1,414"	6.665	0.007710
386	PLoS Genetics	"35,832"	6.661	0.192010
387	ARCHIVES OF TOXICOLOGY	"6,827"	6.637	0.012260
388	BLOOD REVIEWS	"2,200"	6.627	0.004990
389	Journal of the American Medical Directors Association	"4,519"	6.616	0.011640
390	JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	"16,111"	6.615	0.024730
390	JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	"16,111"	6.615	0.024730
392	JOURNAL OF ECONOMIC LITERATURE	"6,360"	6.614	0.021770
393	Journal of Crohns & Colitis	"3,850"	6.585	0.015020
394	CYTOKINE & GROWTH FACTOR REVIEWS	"5,027"	6.571	0.008510
395	CHEMICAL COMMUNICATIONS	"175,661"	6.567	0.368830
396	PHYSIOLOGY	"2,856"	6.541	0.007140
397	Molecular Neurodegeneration	"2,312"	6.510	0.009360
398	AMERICAN JOURNAL OF BIOETHICS	"1,662"	6.500	0.004210
398	AMERICAN JOURNAL OF BIOETHICS	"1,662"	6.500	0.004210
400	Journal of Molecular Cell Biology	"1,353"	6.459	0.006090
401	ADVANCED SYNTHESIS & CATALYSIS	"20,960"	6.453	0.042360
402	PROGRESS IN SOLID STATE CHEMISTRY	"1,844"	6.450	0.001310
403	Biotechnology for Biofuels	"4,521"	6.444	0.015400
404	JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY	"26,259"	6.431	0.032850
405	Journal of Advances in Modeling Earth Systems	"1,297"	6.417	0.008840
406	NEUROPSYCHOPHARMACOLOGY	"22,869"	6.399	0.050020
407	Seminars in Immunopathology	"2,104"	6.394	0.008440
408	IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS	"27,005"	6.383	0.071190
409	CURRENT OPINION IN NEUROBIOLOGY	"13,090"	6.373	0.035610
410	Comprehensive Physiology	"1,693"	6.364	0.009100
